name;dt;href;source
Зарипов хочет получать в «Ак Барсе» 100 млн рублей в год;2020-04-18 16:22:00;https://yandex.ru/news/story/Zaripov_khochet_poluchat_v_Ak_Barse_100_mln_rublej_v_god--66a4ba78862384754dcacfc360c6f2a4?lr=213&lang=ru&stid=zp7KMW24ZpxKpiTd7HE8&persistent_id=94862213&from=index;Metaratings
Геннадий Орлов: «Шюррле оказался не готов к скоростям РПЛ»;2020-04-18 15:53:00;https://yandex.ru/news/story/Gennadij_Orlov_SHyurrle_okazalsya_ne_gotov_k_skorostyam_RPL--02bae31ba2a26477899af8397b06b5f8?lr=213&lang=ru&stid=RrvXfKrilT6U&persistent_id=94862679&from=index;Спорт-Экспресс
Тактаров назвал Хабиба «ваххабитом из Цумадинского района»;2020-04-18 15:46:00;https://yandex.ru/news/story/Taktarov_nazval_KHabiba_vakhkhabitom_iz_Cumadinskogo_rajona--c292d78fd73670e56607a571c444028e?lr=213&lang=ru&stid=v1TqyfouoRKX39GnRaKA&persistent_id=94815940&from=index;Газета.Ru
Чемпион мира Марков завершил карьеру;2020-04-18 16:01:00;https://yandex.ru/news/story/CHempion_mira_Markov_zavershil_kareru--0da9bf00f48696d20c115771af8a3c6d?lr=213&lang=ru&stid=uqZi9iZS5rL7pdcj9O6I&persistent_id=94280010&from=index;Советский спорт
Фуркад получил Большой хрустальный глобус вместо Йоханнеса Бё;2020-04-18 16:02:00;https://yandex.ru/news/story/Furkad_poluchil_Bolshoj_khrustalnyj_globus_vmesto_Jokhannesa_Byo--ec858c1f1ec9d7670e98533b5e5cd21b?lr=213&lang=ru&stid=_mbz0IwGTSicJJf2oXLJ&persistent_id=93757554&from=index;Матч ТВ
Появилось видео задержания исполняющего обязанности замглавы Хакасии;2020-04-18 16:20:00;https://yandex.ru/news/story/Poyavilos_video_zaderzhaniya_ispolnyayushhego_obyazannosti_zamglavy_KHakasii--e64cfbd21b6a98c72127253ab3f114bb?lr=213&lang=ru&stid=fqVrrz6Agod2Zc0GGag8&persistent_id=94811444&rubric=incident&from=index;Газета.Ru
В Башкирии из закрытой на карантин больницы сбежали семь медиков;2020-04-18 16:22:00;https://yandex.ru/news/story/V_Bashkirii_iz_zakrytoj_na_karantin_bolnicy_sbezhali_sem_medikov--2f38e4788925ba8e648f4760845ccd77?lr=213&lang=ru&stid=fIkhpzCRcFidNEDLEzWF&persistent_id=94813227&rubric=incident&from=index;Российская газета
В Хабаровском крае нашли четвертого погибшего при крушении самолета;2020-04-18 16:18:00;https://yandex.ru/news/story/V_KHabarovskom_krae_nashli_chetvertogo_pogibshego_pri_krushenii_samoleta--b26de99d5b5fecaed7f8a2ebc87d2f18?lr=213&lang=ru&stid=IcSPdNUT_BMmEUcThs_O&persistent_id=94834211&rubric=incident&from=index;ТАСС
У пассажира поезда «Москва – Симферополь» заподозрили коронавирус;2020-04-18 15:38:00;https://yandex.ru/news/story/U_passazhira_poezda_Moskva__Simferopol_zapodozrili_koronavirus--2ba73d0571bbc05559ff6e23ed7a8f4c?lr=213&lang=ru&stid=DnFnjDZaqZvRBqswhufX&persistent_id=94845608&rubric=incident&from=index;РИА Новости
Суд признал банкротом бизнесмена, задолжавшего Кобзону $25 млн;2020-04-18 16:12:00;https://yandex.ru/news/story/Sud_priznal_bankrotom_biznesmena_zadolzhavshego_Kobzonu_$25_mln--014019124fd60b5eded9138f53e5d3d3?lr=213&lang=ru&stid=U_dqS4rbPqqkklitWHeF&persistent_id=94858313&rubric=incident&from=index;Интерфакс
